issueNumber,premium,dice1,dice2,dice3,sum,big_small,odd_even,shape,issue_number
20260818101010542,334,3,3,4,10.0,Small,Even,,20260818101010542
20260818101010541,164,1,6,4,11.0,Big,Odd,,20260818101010541
20260818101010540,256,2,5,6,13.0,Big,Odd,,20260818101010540
20260818101010539,556,5,5,6,16.0,Big,Even,,20260818101010539
20260818101010538,314,3,1,4,8.0,Small,Even,,20260818101010538
20260818101010537,323,3,2,3,8.0,Small,Even,,20260818101010537
20260818101010536,152,1,5,2,8.0,Small,Even,,20260818101010536
20260818101010535,342,3,4,2,9.0,Small,Odd,,20260818101010535
20260818101010534,613,6,1,3,10.0,Small,Even,,20260818101010534
20260818101010533,512,5,1,2,8.0,Small,Even,,20260818101010533
20260818101010532,613,6,1,3,10.0,Small,Even,,20260818101010532
20260818101010531,434,4,3,4,11.0,Big,Odd,,20260818101010531
20260818101010530,423,4,2,3,9.0,Small,Odd,,20260818101010530
20260818101010529,632,6,3,2,11.0,Big,Odd,,20260818101010529
20260818101010528,153,1,5,3,9.0,Small,Odd,,20260818101010528
20260818101010527,434,4,3,4,11.0,Big,Odd,,20260818101010527
20260818101010526,645,6,4,5,15.0,Big,Odd,,20260818101010526
20260818101010525,261,2,6,1,9.0,Small,Odd,,20260818101010525
20260818101010524,436,4,3,6,13.0,Big,Odd,,20260818101010524
20260818101010523,523,5,2,3,10.0,Small,Even,,20260818101010523
20260818101010522,154,1,5,4,10.0,Small,Even,,20260818101010522
20260818101010521,456,4,5,6,15.0,Big,Odd,,20260818101010521
20260818101010520,111,1,1,1,3.0,Small,Odd,,20260818101010520
20260818101010519,153,1,5,3,9.0,Small,Odd,,20260818101010519
20260818101010518,265,2,6,5,13.0,Big,Odd,,20260818101010518
20260818101010517,531,5,3,1,9.0,Small,Odd,,20260818101010517
20260818101010516,541,5,4,1,10.0,Small,Even,,20260818101010516
20260818101010515,141,1,4,1,6.0,Small,Even,,20260818101010515
20260818101010514,653,6,5,3,14.0,Big,Even,,20260818101010514
20260818101010513,433,4,3,3,10.0,Small,Even,,20260818101010513
20260818101010512,541,5,4,1,10.0,Small,Even,,20260818101010512
20260818101010511,646,6,4,6,16.0,Big,Even,,20260818101010511
20260818101010510,133,1,3,3,7.0,Small,Odd,,20260818101010510
20260818101010509,555,5,5,5,15.0,Big,Odd,,20260818101010509
20260818101010508,153,1,5,3,9.0,Small,Odd,,20260818101010508
20260818101010507,642,6,4,2,12.0,Big,Even,,20260818101010507
20260818101010506,266,2,6,6,14.0,Big,Even,,20260818101010506
20260818101010505,251,2,5,1,8.0,Small,Even,,20260818101010505
20260818101010504,546,5,4,6,15.0,Big,Odd,,20260818101010504
